idols,name,kana,lat,lon
"菊地真,真壁瑞希",渋川市北橘町真壁,しぶかわし ほっきつまちまかべ,36.479144,139.04242
"所恵美,篠宮可憐",所沢市星の宮二丁目,ところざわし ほしのみや 2,35.786414,139.460994
"所恵美,篠宮可憐",所沢市星の宮一丁目,ところざわし ほしのみや 1,35.787121,139.462942
"高槻やよい,所恵美",所沢市弥生町,ところざわし やよいちょう,35.804218,139.460828
"田中琴葉,所恵美",所沢市北中三丁目,ところざわし きたなか 3,35.811072,139.441638
"田中琴葉,所恵美",所沢市北中一丁目,ところざわし きたなか 1,35.808367,139.432236
"田中琴葉,所恵美",所沢市北中四丁目,ところざわし きたなか 4,35.817367,139.437211
"田中琴葉,所恵美",所沢市北中二丁目,ところざわし きたなか 2,35.811071,139.43455
"三浦あずさ,白石紬",三浦市白石町,みうらし しらいしちょう,35.144026,139.615998
"双海亜美,双海真美",佐渡市二見,さどし ふたみ,37.978449,138.253939
"田中琴葉,中谷育",三条市猪子場新田中谷内,さんじょうし いのこばしんでん,37.60818,138.926754
"田中琴葉,福田のり子",上越市大字大道福田中小割,じょうえつし ,37.150857,138.24961
"七尾百合子,白石紬",七尾市津向町,ななおし つむぎまち,37.060242,136.952978
"所恵美,七尾百合子",七尾市所口町,ななおし ところぐちまち,37.037924,136.964588
"所恵美,七尾百合子",七尾市中島町別所,ななおし なかじままちべっしょ,37.17226,136.845094
"所恵美,七尾百合子",七尾市能登島別所町,ななおし のとじまべっしょまち,37.121674,136.963007
"水瀬伊織,七尾百合子",七尾市庵町,ななおし いおりまち,37.03893,137.038361
"七尾百合子,白石紬",七尾市津向町ヘ,ななおし つむぎまち,37.056712,136.948186
"七尾百合子,白石紬",七尾市津向町ホ,ななおし つむぎまち,37.055719,136.952652
"七尾百合子,白石紬",七尾市津向町松山,ななおし つむぎまち,37.05769,136.95078
"七尾百合子,白石紬",七尾市津向町ニ,ななおし つむぎまち,37.050417,136.950749
"七尾百合子,白石紬",七尾市津向町ト,ななおし つむぎまち,37.056932,136.954506
"七尾百合子,白石紬",七尾市津向町ロ,ななおし つむぎまち,37.047913,136.953976
"七尾百合子,白石紬",七尾市津向町チ,ななおし つむぎまち,37.059385,136.947796
"七尾百合子,白石紬",七尾市津向町和田,ななおし つむぎまち,37.062914,136.95803
"七尾百合子,白石紬",七尾市津向町イ,ななおし つむぎまち,37.047688,136.955433
"七尾百合子,白石紬",七尾市津向町浜高,ななおし つむぎまち,37.066153,136.95919
"七尾百合子,白石紬",七尾市津向町ハ,ななおし つむぎまち,37.052991,136.954487
"七尾百合子,白石紬",七尾市津向町野中,ななおし つむぎまち,37.063182,136.954768
"所恵美,七尾百合子",七尾市所口町リ,ななおし ところぐちまち,37.042726,136.95605
"所恵美,七尾百合子",七尾市所口町チ,ななおし ところぐちまち,37.041296,136.959566
"所恵美,七尾百合子",七尾市所口町ヘ,ななおし ところぐちまち,37.038613,136.960789
"所恵美,七尾百合子",七尾市所口町ホ,ななおし ところぐちまち,37.039414,136.961594
"所恵美,七尾百合子",七尾市所口町ニ,ななおし ところぐちまち,37.041438,136.961535
"所恵美,七尾百合子",七尾市所口町ハ,ななおし ところぐちまち,37.038424,136.963992
"所恵美,七尾百合子",七尾市所口町甲,ななおし ところぐちまち,37.04096,136.963843
"所恵美,七尾百合子",七尾市所口町イ,ななおし ところぐちまち,37.039567,136.964039
"所恵美,七尾百合子",七尾市所口町ロ,ななおし ところぐちまち,37.035936,136.965693
"七尾百合子,白石紬",七尾市津向町ヲ,ななおし つむぎまち,37.063561,136.953207
"七尾百合子,白石紬",七尾市津向町巻口,ななおし つむぎまち,37.061191,136.950375
"所恵美,野々原茜",岐阜市茜部新所一丁目,ぎふし あかなべしんしょ 1,35.386073,136.755718
"所恵美,野々原茜",岐阜市茜部新所二丁目,ぎふし あかなべしんしょ 2,35.385435,136.758334
"所恵美,野々原茜",岐阜市茜部新所三丁目,ぎふし あかなべしんしょ 3,35.382037,136.758314
"所恵美,野々原茜",岐阜市茜部新所四丁目,ぎふし あかなべしんしょ 4,35.379356,136.757714
"春日未来,高山紗代子",高山市春日町,たかやまし かすがまち,36.13769,137.266817
"ロコ,高山紗代子",高山市国府町半田,たかやまし こくふちょうはんだ,36.222774,137.224759
"四条貴音,高山紗代子",高山市高根町阿多野郷,たかやまし たかねまちあたのごう,36.061716,137.535247
"四条貴音,高山紗代子",高山市高根町池ケ洞,たかやまし たかねまちいけがほら,36.070653,137.48826
"四条貴音,高山紗代子",高山市高根町猪之鼻,たかやまし たかねまちいのはな,36.020625,137.430983
"四条貴音,高山紗代子",高山市高根町大古井,たかやまし たかねまちおおぶるい,36.033333,137.46995
"四条貴音,高山紗代子",高山市高根町上ケ洞,たかやまし たかねまちかみがほら,36.035607,137.493494
"四条貴音,高山紗代子",高山市高根町黍生,たかやまし たかねまちきびゅう,36.057975,137.508951
"四条貴音,高山紗代子",高山市高根町小日和田,たかやまし たかねまちこひわだ,35.986341,137.540062
"四条貴音,高山紗代子",高山市高根町下之向,たかやまし たかねまちしものむかい,36.024043,137.456794
"四条貴音,高山紗代子",高山市高根町留之原,たかやまし たかねまちとめのはら,35.97468,137.523674
"四条貴音,高山紗代子",高山市高根町中之宿,たかやまし たかねまちなかのしゅく,36.030602,137.443914
